year/month,100K,500K,1M,10M
2017-01,0.0,0.0,0.0,0.0
2017-02,0.0,0.0,0.0,0.0
2017-03,1.0,1.0,1.0,1.0
2017-04,0.0,0.0,0.0,0.0
2017-05,0.0,0.0,0.0,0.0
2017-06,1.0,0.0,0.0,0.0
2017-07,0.0,0.0,0.0,0.0
2017-08,0.0,0.0,0.0,0.0
2017-09,0.0,0.0,0.0,0.0
2017-10,1.0,1.0,1.0,0.0
2017-11,3.0,2.0,2.0,0.0
2017-12,2.0,1.0,1.0,0.0
2018-01,2.0,2.0,1.0,0.0
2018-02,3.0,1.0,1.0,0.0
2018-03,1.0,1.0,1.0,0.0
2018-04,0.0,0.0,0.0,0.0
2018-05,2.0,1.0,1.0,1.0
2018-06,2.0,0.0,0.0,0.0
2018-07,1.0,1.0,0.0,0.0
2018-08,0.0,0.0,0.0,0.0
2018-09,0.0,0.0,0.0,0.0
2018-10,0.0,0.0,0.0,0.0
2018-11,2.0,1.0,0.0,0.0
2018-12,1.0,0.0,0.0,0.0
2019-01,0.0,0.0,0.0,0.0
2019-02,1.0,0.0,0.0,0.0
2019-03,5.0,3.0,2.0,0.0
2019-04,0.0,0.0,0.0,0.0
2019-05,1.0,1.0,1.0,0.0
2019-06,0.0,0.0,0.0,0.0
2019-07,1.0,0.0,0.0,0.0
2019-08,7.0,1.0,1.0,0.0
2019-09,9.0,2.0,1.0,0.0
2019-10,6.0,2.0,2.0,1.0
2019-11,0.0,0.0,0.0,0.0
2019-12,4.0,3.0,0.0,0.0
2020-01,7.0,6.0,4.0,0.0
2020-02,6.0,4.0,3.0,0.0
2020-03,5.0,5.0,4.0,3.0
2020-04,1.0,1.0,1.0,0.0
2020-05,6.0,3.0,1.0,0.0
2020-06,4.0,3.0,0.0,0.0
2020-07,8.0,8.0,3.0,1.0
2020-08,4.0,0.0,0.0,0.0
2020-09,14.0,11.0,9.0,5.0
2020-10,14.0,10.0,9.0,0.0
2020-11,7.0,5.0,5.0,0.0
2020-12,5.0,5.0,5.0,0.0
2021-01,10.0,6.0,4.0,3.0
2021-02,8.0,6.0,5.0,1.0
2021-03,11.0,8.0,8.0,1.0
2021-04,17.0,7.0,6.0,2.0
2021-05,17.0,12.0,4.0,0.0
2021-06,17.0,12.0,8.0,2.0
2021-07,16.0,12.0,9.0,1.0
2021-08,17.0,10.0,7.0,1.0
2021-09,22.0,12.0,8.0,0.0
2021-10,27.0,17.0,12.0,1.0
2021-11,24.0,14.0,10.0,4.0
2021-12,15.0,7.0,6.0,2.0
2022-01,18.0,12.0,6.0,0.0
2022-02,14.0,7.0,2.0,0.0
2022-03,11.0,7.0,4.0,0.0
2022-04,22.0,3.0,1.0,0.0
2022-05,25.0,12.0,8.0,1.0
2022-06,19.0,13.0,5.0,1.0
2022-07,9.0,1.0,1.0,0.0
2022-08,9.0,6.0,2.0,0.0
2022-09,15.0,7.0,2.0,1.0
2022-10,11.0,5.0,2.0,1.0
2022-11,12.0,5.0,4.0,1.0
2022-12,12.0,11.0,5.0,1.0
2023-01,13.0,4.0,3.0,0.0
2023-02,11.0,6.0,4.0,2.0
2023-03,15.0,8.0,3.0,0.0
2023-04,20.0,7.0,4.0,1.0
2023-05,25.0,8.0,6.0,2.0
2023-06,20.0,6.0,2.0,1.0
2023-07,18.0,10.0,6.0,1.0
2023-08,10.0,4.0,1.0,0.0
2023-09,19.0,5.0,5.0,1.0
2023-10,15.0,4.0,2.0,0.0
2023-11,0.0,0.0,0.0,0.0
2023-12,0.0,0.0,0.0,0.0
MEAN,8.107142857142858,4.273809523809524,2.6785714285714284,0.5238095238095238
MEDIAN,6.0,3.0,1.5,0.0
