year/month,100K,100K,500K,500K,1M,1M,10M,10M
2017-01,0.0,,0.0,,0.0,,0.0,
2017-02,1.0,"gamecredits, ",1.0,"gamecredits, ",0.0,,0.0,
2017-03,2.0,"bitcoin-plus, bytecoin, ",2.0,"bitcoin-plus, bytecoin, ",2.0,"bitcoin-plus, bytecoin, ",1.0,"bitcoin-plus, "
2017-04,1.0,"pinkcoin, ",1.0,"pinkcoin, ",0.0,,0.0,
2017-05,0.0,,0.0,,0.0,,0.0,
2017-06,1.0,"xtrabytes, ",0.0,,0.0,,0.0,
2017-07,0.0,,0.0,,0.0,,0.0,
2017-08,0.0,,0.0,,0.0,,0.0,
2017-09,1.0,"maxcoin, ",1.0,"maxcoin, ",1.0,"maxcoin, ",0.0,
2017-10,2.0,"iexec-rlc, binancecoin, ",1.0,"binancecoin, ",1.0,"binancecoin, ",0.0,
2017-11,4.0,"kyber-network, ripio-credit-network, lunyr, amber, ",3.0,"kyber-network, ripio-credit-network, amber, ",3.0,"kyber-network, ripio-credit-network, amber, ",0.0,
2017-12,3.0,"presearch, bitmark, ignis, ",1.0,"bitmark, ",1.0,"bitmark, ",0.0,
2018-01,11.0,"luxcoin, yenten, reftoken, pandacoin, aeron, game, paccoin, cappasity, bitcoin-diamond, vibe, ",10.0,"luxcoin, reftoken, pandacoin, aeron, game, paccoin, cappasity, bitcoin-diamond, vibe, ",9.0,"reftoken, pandacoin, aeron, game, paccoin, cappasity, bitcoin-diamond, vibe, ",5.0,"aeron, paccoin, bitcoin-diamond, vibe, "
2018-02,7.0,"ucash, geocoin, bitcoin-diamond, quebecoin, polymath, ",2.0,"ucash, bitcoin-diamond, ",2.0,"ucash, bitcoin-diamond, ",0.0,
2018-03,1.0,"paccoin, ",1.0,"paccoin, ",1.0,"paccoin, ",0.0,
2018-04,3.0,"sparks, bitcoin-diamond, ",3.0,"sparks, bitcoin-diamond, ",3.0,"sparks, bitcoin-diamond, ",0.0,
2018-05,3.0,"bytecoin, bounty0x, daostack, ",2.0,"bytecoin, bounty0x, ",1.0,"bytecoin, ",1.0,"bytecoin, "
2018-06,2.0,"smartlands, cvnx, ",0.0,,0.0,,0.0,
2018-07,3.0,"mybit-token, mainframe, ",2.0,"mybit-token, mainframe, ",1.0,"mainframe, ",1.0,"mainframe, "
2018-08,1.0,"speed-mining-service, ",0.0,,0.0,,0.0,
2018-09,1.0,"artbyte, ",0.0,,0.0,,0.0,
2018-10,0.0,,0.0,,0.0,,0.0,
2018-11,3.0,"emercoin, agrello, phore, ",1.0,"agrello, ",0.0,,0.0,
2018-12,1.0,"solve-care, ",0.0,,0.0,,0.0,
2019-01,0.0,,0.0,,0.0,,0.0,
2019-02,1.0,"bitball, ",0.0,,0.0,,0.0,
2019-03,7.0,"medibloc, ormeuscoin, concierge-io, aeur, swarm, bitcoinx, ",3.0,"ormeuscoin, swarm, bitcoinx, ",2.0,"ormeuscoin, swarm, ",0.0,
2019-04,1.0,"buckhath-coin, ",0.0,,0.0,,0.0,
2019-05,2.0,"casinocoin, skrumble-network, ",2.0,"casinocoin, skrumble-network, ",1.0,"skrumble-network, ",0.0,
2019-06,3.0,"bitcoin-2, rif-token, menapay, ",1.0,"rif-token, ",1.0,"rif-token, ",0.0,
2019-07,4.0,"title-network, presearch, uquid-coin, platincoin, ",2.0,"uquid-coin, platincoin, ",1.0,"platincoin, ",0.0,
2019-08,11.0,"pantheon-x, realtract, exchangecoin, qredit, yocoin, lina, bitcoinx, ",2.0,"pantheon-x, exchangecoin, ",2.0,"pantheon-x, exchangecoin, ",0.0,
2019-09,10.0,"dprating, realtract, yocoin, bitcoinx, ",2.0,"realtract, yocoin, ",1.0,"realtract, ",0.0,
2019-10,7.0,"pantheon-x, vndc, ormeus-ecosystem, newyork-exchange, ",2.0,"ormeus-ecosystem, newyork-exchange, ",2.0,"ormeus-ecosystem, newyork-exchange, ",1.0,"ormeus-ecosystem, "
2019-11,1.0,"safeinsure, ",1.0,"safeinsure, ",0.0,,0.0,
2019-12,5.0,"counterparty, safeinsure, whitecoin, connectome, ",4.0,"counterparty, safeinsure, whitecoin, ",1.0,"counterparty, ",0.0,
2020-01,8.0,"evedo, whitecoin, gleec-coin, bitcoinx, ",7.0,"evedo, whitecoin, gleec-coin, ",5.0,"whitecoin, gleec-coin, ",0.0,
2020-02,9.0,"acute-angle-cloud, siaprime-coin, whitecoin, eth3s, zano, ",6.0,"acute-angle-cloud, whitecoin, eth3s, ",5.0,"acute-angle-cloud, whitecoin, eth3s, ",0.0,
2020-03,11.0,"bitcoin-subsidium, pi-network-iou, observer-coin, acute-angle-cloud, streamr-xdata, vndc, eth3s, gleec-coin, jetcoin, ",9.0,"observer-coin, acute-angle-cloud, streamr-xdata, vndc, eth3s, gleec-coin, jetcoin, ",7.0,"streamr-xdata, vndc, eth3s, gleec-coin, jetcoin, ",4.0,"streamr-xdata, eth3s, jetcoin, "
2020-04,5.0,"acute-angle-cloud, jobchain, eth3s, uma, ",4.0,"acute-angle-cloud, eth3s, uma, ",4.0,"acute-angle-cloud, eth3s, uma, ",1.0,"eth3s, "
2020-05,10.0,"bitcash, herocoin, pantheon-x, coindom, sora, freedomcoin, global-digital-content, ",5.0,"bitcash, herocoin, pantheon-x, sora, ",2.0,"pantheon-x, ",0.0,
2020-06,11.0,"pantheon-x, relevant, zelaapayae, monero-classic-xmc, atromg8, eth3s, lunch-money, medical-token-currency, ",6.0,"pantheon-x, eth3s, medical-token-currency, ",2.0,"pantheon-x, medical-token-currency, ",0.0,
2020-07,18.0,"acute-angle-cloud, insula, ecoscu, smooth-love-potion, eth3s, ceek, lunch-money, cotrader, counosx, ",13.0,"acute-angle-cloud, smooth-love-potion, eth3s, ceek, counosx, ",7.0,"acute-angle-cloud, smooth-love-potion, ",1.0,"acute-angle-cloud, "
2020-08,13.0,"stacktical, acute-angle-cloud, parachute, linkcoin-token, alliance-x-trading, bitball, ulord, centric-cash, yflink, robonomics-network, bitcoin-god, jetcoin, ",5.0,"acute-angle-cloud, parachute, centric-cash, yflink, robonomics-network, ",5.0,"acute-angle-cloud, parachute, centric-cash, yflink, robonomics-network, ",0.0,
2020-09,19.0,"globalboost, qqq-token, cat-token, aleph, hashgard, pickle-finance, acute-angle-cloud, magic-cube, monero-classic-xmc, noia-network, lua-token, ulord, gleec-coin, triumphx, unicorn-token, ",13.0,"globalboost, qqq-token, cat-token, pickle-finance, acute-angle-cloud, magic-cube, lua-token, triumphx, unicorn-token, ",9.0,"pickle-finance, acute-angle-cloud, lua-token, triumphx, unicorn-token, ",5.0,"pickle-finance, acute-angle-cloud, unicorn-token, "
2020-10,21.0,"vectorium, qqq-token, matrix-ai-network, payrue, ternio, xfinance, gleec-coin, triumphx, bitica-coin, salmon, ",11.0,"qqq-token, matrix-ai-network, xfinance, triumphx, bitica-coin, ",10.0,"qqq-token, xfinance, triumphx, bitica-coin, ",0.0,
2020-11,13.0,"vectorium, matrix-ai-network, refereum, triumphx, enigma, ",6.0,"refereum, triumphx, ",6.0,"refereum, triumphx, ",1.0,"refereum, "
2020-12,14.0,"bintex-futures, matrix-ai-network, kstarcoin, seigniorage-shares, triumphx, berry, bitica-coin, axion, ",7.0,"bintex-futures, matrix-ai-network, triumphx, berry, bitica-coin, axion, ",6.0,"bintex-futures, triumphx, berry, bitica-coin, axion, ",0.0,
2021-01,20.0,"vectorium, shiba-inu, insure, matrix-ai-network, everycoin, cocos-bcx, donut, dogecoin, reddcoin, bafi-finance-token, triumphx, cvnx, peos, ultrain, bitcoinx, amond, memetic, corionx, ",11.0,"vectorium, shiba-inu, everycoin, cocos-bcx, donut, dogecoin, reddcoin, ultrain, amond, memetic, corionx, ",7.0,"shiba-inu, cocos-bcx, donut, dogecoin, reddcoin, ultrain, amond, ",6.0,"shiba-inu, cocos-bcx, donut, dogecoin, reddcoin, ultrain, "
2021-02,20.0,"fedoracoin, shiba-inu, vite, anyswap, bora, cat-token, zyx, bnktothefuture, beluga-fi, cryptoflow, jupiter, marscoin, pay-coin, pibble, beholder, spaceswap-milk2, bitcoin-god, corionx, yvs-finance, ",17.0,"fedoracoin, shiba-inu, vite, anyswap, bora, cat-token, bnktothefuture, jupiter, marscoin, pay-coin, pibble, beholder, spaceswap-milk2, bitcoin-god, corionx, yvs-finance, ",16.0,"fedoracoin, shiba-inu, vite, anyswap, bora, cat-token, bnktothefuture, jupiter, marscoin, pay-coin, pibble, beholder, spaceswap-milk2, corionx, yvs-finance, ",6.0,"shiba-inu, bora, bnktothefuture, pay-coin, pibble, spaceswap-milk2, "
2021-03,30.0,"myce, golden-token, paid-network, modex, flash-stake, blue-baikal, aeron, bobs_repair, acreage-coin, coindom, acute-angle-cloud, publish, universal-liquidity-union, gene, pop-chest-token, vidyx, ixicash, bitball, minds, cvnx, hydro, safemars, bitcoin-god, helleniccoin, ",16.0,"paid-network, aeron, bobs_repair, acreage-coin, acute-angle-cloud, vidyx, bitball, minds, cvnx, hydro, safemars, bitcoin-god, ",12.0,"paid-network, bobs_repair, acute-angle-cloud, vidyx, bitball, cvnx, hydro, bitcoin-god, ",2.0,"paid-network, vidyx, "
