year/month,100K,100K,500K,500K,1M,1M,10M,10M
2017-01,0.0,,0.0,,0.0,,0.0,
2017-02,1.0,"gamecredits, ",1.0,"gamecredits, ",0.0,,0.0,
2017-03,5.0,"zclassic, bitcoin-plus, bytecoin, namecoin, crown, ",3.0,"bitcoin-plus, bytecoin, namecoin, ",3.0,"bitcoin-plus, bytecoin, namecoin, ",1.0,"bitcoin-plus, "
2017-04,4.0,"myriadcoin, pinkcoin, vertcoin, ripple, ",4.0,"myriadcoin, pinkcoin, vertcoin, ripple, ",3.0,"myriadcoin, vertcoin, ripple, ",2.0,"vertcoin, ripple, "
2017-05,18.0,"neo, fedoracoin, omni, maxcoin, artbyte, digibyte, gridcoin-research, verge, reddcoin, bytecoin, digitalnote, stellar, worldcoin, bean-cash, zetacoin, ",17.0,"neo, fedoracoin, omni, maxcoin, digibyte, gridcoin-research, verge, reddcoin, bytecoin, digitalnote, stellar, worldcoin, bean-cash, zetacoin, ",14.0,"neo, omni, digibyte, gridcoin-research, verge, reddcoin, bytecoin, digitalnote, stellar, worldcoin, zetacoin, ",6.0,"neo, digibyte, bytecoin, stellar, "
2017-06,13.0,"agoras-currency-of-tau, neo, maxcoin, bitcoin-plus, hyperstake, diamond, cloakcoin, digitalnote, mintcoin, worldcoin, xtrabytes, bata, bean-cash, ",9.0,"agoras-currency-of-tau, neo, maxcoin, bitcoin-plus, diamond, cloakcoin, digitalnote, worldcoin, bean-cash, ",9.0,"agoras-currency-of-tau, neo, maxcoin, bitcoin-plus, diamond, cloakcoin, digitalnote, worldcoin, bean-cash, ",2.0,"neo, worldcoin, "
2017-07,6.0,"stealthcoin, bitcoin-plus, veritaseum, bitmark, salus, ",4.0,"bitcoin-plus, veritaseum, bitmark, salus, ",4.0,"bitcoin-plus, veritaseum, bitmark, salus, ",0.0,
2017-08,7.0,"neo, bitcoin-cash, ethos, geocoin, civic, lunyr, ",6.0,"neo, bitcoin-cash, ethos, geocoin, civic, lunyr, ",5.0,"neo, bitcoin-cash, geocoin, civic, lunyr, ",4.0,"neo, bitcoin-cash, civic, lunyr, "
2017-09,9.0,"nav-coin, blackcoin, maxcoin, quark, okcash, worldcoin, rupee, zetacoin, ",7.0,"nav-coin, blackcoin, maxcoin, okcash, worldcoin, rupee, zetacoin, ",7.0,"nav-coin, blackcoin, maxcoin, okcash, worldcoin, rupee, zetacoin, ",3.0,"nav-coin, blackcoin, okcash, "
2017-10,10.0,"iexec-rlc, nolimitcoin, monacoin, binancecoin, digitalnote, vcash, salus, zencash, groestlcoin, ",8.0,"monacoin, binancecoin, digitalnote, vcash, salus, zencash, groestlcoin, ",8.0,"monacoin, binancecoin, digitalnote, vcash, salus, zencash, groestlcoin, ",4.0,"monacoin, digitalnote, zencash, groestlcoin, "
2017-11,15.0,"kyber-network, autonio, einsteinium, cardano, riecoin, bitcoin-gold, curecoin, bitmark, vcash, nuls, ripio-credit-network, pascalcoin, electronicgulden, lunyr, amber, ",12.0,"kyber-network, einsteinium, cardano, riecoin, bitcoin-gold, curecoin, vcash, nuls, ripio-credit-network, pascalcoin, electronicgulden, amber, ",12.0,"kyber-network, einsteinium, cardano, riecoin, bitcoin-gold, curecoin, vcash, nuls, ripio-credit-network, pascalcoin, electronicgulden, amber, ",5.0,"einsteinium, cardano, bitcoin-gold, curecoin, vcash, "
2017-12,39.0,"electra, luxcoin, encrypgen, zero, zclassic, litedoge, humaniq, dentacoin, hyperstake, steem-dollars, decentraland, yocoin, hempcoin-thc, presearch, patientory, verge, reddcoin, streamr-xdata, cappasity, mybit-token, bitmark, xp, goldcoin, phore, dent, ignis, cvnx, bean-cash, nem, tron, memetic, insurex, ",30.0,"electra, luxcoin, encrypgen, zero, zclassic, humaniq, dentacoin, hyperstake, steem-dollars, decentraland, hempcoin-thc, patientory, verge, reddcoin, cappasity, mybit-token, bitmark, xp, goldcoin, phore, dent, bean-cash, nem, tron, memetic, ",25.0,"electra, luxcoin, zero, zclassic, humaniq, dentacoin, steem-dollars, decentraland, hempcoin-thc, patientory, verge, reddcoin, cappasity, bitmark, xp, goldcoin, phore, dent, bean-cash, nem, tron, memetic, ",12.0,"zclassic, humaniq, steem-dollars, decentraland, hempcoin-thc, verge, reddcoin, bean-cash, nem, tron, memetic, "
2018-01,49.0,"luxcoin, encrypgen, yenten, internxt, autonio, cindicator, reftoken, dentacoin, pandacoin, aeron, game, neutron-1, myriadcoin, gcn-coin, worldcore, smartcash, presearch, freedomcoin, paccoin, geocoin, newyorkcoin, bytecoin, iostoken, cappasity, bitcoin-diamond, dimecoin, mintcoin, vibe, simple-token, lightning-bitcoin, ignis, xtrabytes, cvnx, neblio, nexus, bean-cash, wax, trezarcoin, status, tron, bitboost, ",37.0,"luxcoin, encrypgen, cindicator, reftoken, dentacoin, pandacoin, aeron, game, myriadcoin, gcn-coin, worldcore, smartcash, paccoin, newyorkcoin, bytecoin, iostoken, cappasity, bitcoin-diamond, dimecoin, mintcoin, vibe, simple-token, lightning-bitcoin, xtrabytes, neblio, nexus, bean-cash, wax, trezarcoin, status, tron, ",33.0,"encrypgen, cindicator, reftoken, dentacoin, pandacoin, aeron, game, myriadcoin, worldcore, smartcash, paccoin, newyorkcoin, bytecoin, iostoken, cappasity, bitcoin-diamond, mintcoin, vibe, simple-token, lightning-bitcoin, xtrabytes, neblio, nexus, bean-cash, wax, status, tron, ",20.0,"cindicator, dentacoin, aeron, myriadcoin, paccoin, bytecoin, iostoken, bitcoin-diamond, mintcoin, vibe, simple-token, neblio, nexus, bean-cash, wax, status, tron, "
2018-02,8.0,"ucash, binancecoin, geocoin, bitcoin-diamond, quebecoin, polymath, ",3.0,"ucash, binancecoin, bitcoin-diamond, ",3.0,"ucash, binancecoin, bitcoin-diamond, ",1.0,"binancecoin, "
2018-03,10.0,"encrypgen, storm, litecoin-cash, paccoin, bitcoin-diamond, salus, mktcoin, bitcoinx, ",10.0,"encrypgen, storm, litecoin-cash, paccoin, bitcoin-diamond, salus, mktcoin, bitcoinx, ",8.0,"storm, litecoin-cash, paccoin, bitcoin-diamond, salus, mktcoin, ",4.0,"storm, bitcoin-diamond, salus, "
2018-04,16.0,"fedoracoin, dero, blockcdn, bitcoin-private, propy, maxcoin, sparks, game, neutron-1, primecoin, bitcoin-diamond, lightning-bitcoin, groestlcoin, ",12.0,"blockcdn, bitcoin-private, propy, sparks, game, primecoin, bitcoin-diamond, lightning-bitcoin, groestlcoin, ",10.0,"blockcdn, propy, sparks, game, primecoin, bitcoin-diamond, lightning-bitcoin, groestlcoin, ",5.0,"propy, game, primecoin, groestlcoin, "
2018-05,7.0,"pinkcoin, bytecoin, bounty0x, bitcoin-diamond, chronobank, lightning-bitcoin, daostack, ",6.0,"pinkcoin, bytecoin, bounty0x, bitcoin-diamond, chronobank, lightning-bitcoin, ",4.0,"pinkcoin, bytecoin, bitcoin-diamond, chronobank, ",2.0,"bytecoin, bitcoin-diamond, "
2018-06,6.0,"smartlands, iotex, bitcoin-diamond, morpheus-network, cvnx, mysterium, ",4.0,"iotex, bitcoin-diamond, morpheus-network, mysterium, ",3.0,"iotex, bitcoin-diamond, morpheus-network, ",1.0,"iotex, "
2018-07,13.0,"mybit-token, bitcoin-diamond, mainframe, namecoin, dent, mysterium, ",10.0,"mybit-token, bitcoin-diamond, mainframe, dent, mysterium, ",5.0,"bitcoin-diamond, mainframe, dent, ",2.0,"mainframe, dent, "
2018-08,3.0,"speed-mining-service, bitcoin-diamond, bitsum, ",1.0,"bitcoin-diamond, ",1.0,"bitcoin-diamond, ",0.0,
2018-09,4.0,"fedoracoin, artbyte, bitcoin-diamond, ong, ",3.0,"fedoracoin, bitcoin-diamond, ong, ",3.0,"fedoracoin, bitcoin-diamond, ong, ",1.0,"bitcoin-diamond, "
2018-10,8.0,"einsteinium, cyberfm, cloakcoin, red-pulse, citadel, bitcoinx, bitmart-token, pumapay, ",4.0,"cloakcoin, red-pulse, bitmart-token, pumapay, ",3.0,"red-pulse, bitmart-token, pumapay, ",1.0,"red-pulse, "
2018-11,11.0,"gamecredits, emercoin, telcoin, nasdacoin, agrello, fox-trading-token, phore, dent, metal, ",4.0,"nasdacoin, agrello, dent, metal, ",2.0,"dent, metal, ",1.0,"dent, "
2018-12,3.0,"telcoin, realtract, solve-care, ",1.0,"realtract, ",0.0,,0.0,
2019-01,5.0,"beam, agrello, sopay, props, solve-care, ",3.0,"beam, agrello, sopay, ",3.0,"beam, agrello, sopay, ",2.0,"beam, agrello, "
2019-02,6.0,"enjincoin, everipedia, storj, ong, bitball, mossland, ",5.0,"enjincoin, everipedia, storj, ong, mossland, ",5.0,"enjincoin, everipedia, storj, ong, mossland, ",5.0,"enjincoin, everipedia, storj, ong, mossland, "
2019-03,26.0,"morpheus-labs, enjincoin, blackcoin, coinex-token, alibabacoin, avinoc, casinocoin, medibloc, crypto-com-chain, hempcoin-thc, ormeuscoin, everex, sf-capital, concierge-io, aeur, sphere, swarm, openanx, dogz, bitcoinx, asd, platincoin, groestlcoin, viacoin, ",13.0,"enjincoin, coinex-token, alibabacoin, ormeuscoin, everex, sphere, swarm, openanx, bitcoinx, asd, platincoin, groestlcoin, viacoin, ",12.0,"enjincoin, coinex-token, alibabacoin, ormeuscoin, everex, sphere, swarm, openanx, asd, platincoin, groestlcoin, viacoin, ",6.0,"enjincoin, alibabacoin, everex, openanx, groestlcoin, viacoin, "
