year/month,100K,100K,500K,500K,1M,1M,10M,10M
2019-04,15.0,"open-platform, aichain, coinfi, autonio, blockcdn, casinocoin, suncontract, starchain, trinity-network-credit, whitecoin, buckhath-coin, quadrant-protocol, platincoin, ",9.0,"open-platform, blockcdn, casinocoin, suncontract, starchain, trinity-network-credit, whitecoin, platincoin, ",7.0,"blockcdn, suncontract, starchain, trinity-network-credit, whitecoin, platincoin, ",0.0,
2019-05,13.0,"bitwhite, gobyte, polyswarm, exchangecoin, casinocoin, ecomi, ioex, sopay, mixmarvel, litecoin-plus, fanstime, platincoin, skrumble-network, ",7.0,"exchangecoin, casinocoin, sopay, mixmarvel, fanstime, platincoin, skrumble-network, ",6.0,"exchangecoin, sopay, mixmarvel, fanstime, platincoin, skrumble-network, ",1.0,"sopay, "
2019-06,19.0,"moviebloc, blockcdn, realtract, bitcoin-2, echolink, okcash, ignis, eosforce, zeon, rif-token, bitcoinx, bitcoin-god, menapay, xmax, ",8.0,"moviebloc, blockcdn, echolink, okcash, ignis, rif-token, xmax, ",7.0,"moviebloc, blockcdn, okcash, ignis, rif-token, xmax, ",4.0,"moviebloc, ignis, xmax, "
2019-07,18.0,"herocoin, everycoin, title-network, presearch, ethos, safeinsure, whitecoin, super-zero, uquid-coin, mixmarvel, platincoin, skrumble-network, connectome, ",8.0,"ethos, whitecoin, super-zero, uquid-coin, mixmarvel, platincoin, skrumble-network, ",7.0,"ethos, whitecoin, super-zero, mixmarvel, platincoin, skrumble-network, ",2.0,"super-zero, skrumble-network, "
2019-08,19.0,"pantheon-x, realtract, exchangecoin, blockport, banana-token, qredit, yocoin, lina, red-pulse, bitball, measurable-data-token, bitcoinx, cotrader, ",7.0,"pantheon-x, exchangecoin, red-pulse, bitball, measurable-data-token, bitcoinx, ",6.0,"pantheon-x, exchangecoin, red-pulse, measurable-data-token, bitcoinx, ",1.0,"measurable-data-token, "
2019-09,18.0,"dprating, realtract, expanse, iq-cash, xceltoken-plus, yocoin, playgame, ormeus-ecosystem, decentralized-vulnerability-platform, howdoo, bitcoinx, ",5.0,"realtract, yocoin, ormeus-ecosystem, decentralized-vulnerability-platform, ",4.0,"realtract, ormeus-ecosystem, decentralized-vulnerability-platform, ",3.0,"ormeus-ecosystem, decentralized-vulnerability-platform, "
2019-10,26.0,"bitcash, fx-coin, pantheon-x, evedo, centrality, akropolis, xceltoken-plus, yocoin, nasdacoin, safeinsure, vndc, ormeus-ecosystem, insureum, sphere, newyork-exchange, unicorn-token, era-swap-token, ",7.0,"fx-coin, ormeus-ecosystem, sphere, newyork-exchange, unicorn-token, ",6.0,"fx-coin, ormeus-ecosystem, newyork-exchange, unicorn-token, ",4.0,"ormeus-ecosystem, unicorn-token, "
2019-11,17.0,"pantheon-x, gamecredits, kampay, spacechain-erc-20, akropolis, suterusu, safeinsure, ioex, ormeus-ecosystem, whitecoin, silent-notary, pigeoncoin, ampleforth, ",4.0,"gamecredits, suterusu, safeinsure, ",1.0,"suterusu, ",0.0,
2019-12,16.0,"pantheon-x, ink, vite, hupayx, lina, counterparty, safeinsure, eyes-protocol, whitecoin, htmlcoin, unicorn-token, connectome, ",12.0,"pantheon-x, ink, vite, hupayx, counterparty, safeinsure, whitecoin, unicorn-token, ",8.0,"pantheon-x, ink, vite, counterparty, unicorn-token, ",0.0,
2020-01,21.0,"agoras-currency-of-tau, ink, tap, evedo, bitcoin-gold, triton, cube-intelligence, eyes-protocol, whitecoin, decentralized-advertising, gleec-coin, ipx-token, uquid-coin, bitcoin-cash-sv, bitcore, bitcoinx, ",16.0,"ink, tap, evedo, bitcoin-gold, whitecoin, decentralized-advertising, gleec-coin, ipx-token, uquid-coin, bitcoin-cash-sv, bitcore, ",14.0,"ink, tap, bitcoin-gold, whitecoin, decentralized-advertising, gleec-coin, ipx-token, uquid-coin, bitcoin-cash-sv, bitcore, ",2.0,"bitcoin-gold, bitcoin-cash-sv, "
2020-02,24.0,"moviebloc, origin-protocol, 12ships, wom-token, hedera-hashgraph, acute-angle-cloud, siaprime-coin, cloakcoin, smartmesh, fox-trading-token, ulord, whitecoin, eth3s, decentralized-advertising, gleec-coin, mossland, zano, carry, ",17.0,"moviebloc, origin-protocol, 12ships, wom-token, hedera-hashgraph, acute-angle-cloud, smartmesh, whitecoin, eth3s, decentralized-advertising, gleec-coin, mossland, carry, ",16.0,"moviebloc, origin-protocol, 12ships, wom-token, hedera-hashgraph, acute-angle-cloud, smartmesh, whitecoin, eth3s, decentralized-advertising, gleec-coin, mossland, carry, ",6.0,"moviebloc, origin-protocol, 12ships, hedera-hashgraph, decentralized-advertising, mossland, "
2020-03,34.0,"nusd, bitcoin-subsidium, ink, evedo, pi-network-iou, observer-coin, 12ships, acute-angle-cloud, numeraire, streamr-xdata, vndc, eyes-protocol, meconcash, ulord, eth3s, gleec-coin, unicorn-token, gifto, blackpearl-chain, pigeoncoin, cloudbric, eosdac, zynecoin, gomoney2, swipe, bitcoin-god, jetcoin, ",24.0,"nusd, ink, evedo, observer-coin, 12ships, acute-angle-cloud, numeraire, streamr-xdata, vndc, eyes-protocol, meconcash, eth3s, gleec-coin, gifto, blackpearl-chain, cloudbric, zynecoin, gomoney2, swipe, jetcoin, ",18.0,"ink, evedo, 12ships, numeraire, streamr-xdata, vndc, meconcash, eth3s, gleec-coin, gifto, zynecoin, gomoney2, swipe, jetcoin, ",7.0,"streamr-xdata, eth3s, gifto, swipe, jetcoin, "
2020-04,29.0,"propy, hive, itam-games, tokenize-xchange, acute-angle-cloud, jobchain, sumokoin, ucx, fisco, bounty0x, arqma, credits, ulord, eth3s, unicorn-token, gifto, pibble, pigeoncoin, eosdac, uma, ",14.0,"propy, hive, itam-games, tokenize-xchange, acute-angle-cloud, sumokoin, ucx, credits, eth3s, gifto, uma, ",11.0,"hive, itam-games, tokenize-xchange, acute-angle-cloud, ucx, eth3s, gifto, uma, ",5.0,"hive, eth3s, gifto, "
2020-05,40.0,"bitcash, herocoin, pantheon-x, evedo, polyswarm, coindom, airbloc-protocol, trustverse, medibloc, sora, freedomcoin, global-digital-content, caica-coin, gridcoin-research, ormeus-ecosystem, chronobank, insureum, fox-trading-token, ulord, unicorn-token, celo, lux-bio-exchange-coin, mixmarvel, fsn, theta-fuel, eosdac, xdai-stake, jarvis-reward-token, platincoin, helleniccoin, xio, ",19.0,"bitcash, herocoin, pantheon-x, evedo, airbloc-protocol, trustverse, medibloc, sora, celo, lux-bio-exchange-coin, mixmarvel, fsn, theta-fuel, xdai-stake, platincoin, xio, ",15.0,"pantheon-x, evedo, airbloc-protocol, trustverse, medibloc, celo, lux-bio-exchange-coin, mixmarvel, fsn, theta-fuel, xdai-stake, xio, ",6.0,"trustverse, medibloc, mixmarvel, fsn, theta-fuel, xdai-stake, "
2020-06,37.0,"tnc-coin, pantheon-x, relevant, ghost-by-mcafee, bitcoin-free-cash, wom-token, zelaapayae, sparkpoint, compound-governance-token, sora, monero-classic-xmc, atromg8, temco, dexa-coin, smart-mfg, echolink, bitball, decentralized-vulnerability-platform, eth3s, dev-protocol, pibble, pigeoncoin, ardcoin, ultragate, fanstime, eosdac, statera, zynecoin, lunch-money, jetcoin, menapay, medical-token-currency, ",19.0,"tnc-coin, pantheon-x, ghost-by-mcafee, wom-token, sparkpoint, compound-governance-token, echolink, bitball, decentralized-vulnerability-platform, eth3s, pibble, fanstime, statera, zynecoin, medical-token-currency, ",12.0,"tnc-coin, pantheon-x, ghost-by-mcafee, wom-token, compound-governance-token, echolink, decentralized-vulnerability-platform, fanstime, statera, zynecoin, medical-token-currency, ",2.0,"wom-token, decentralized-vulnerability-platform, "
2020-07,53.0,"zap, ink, syscoin, coinfi, zelaapayae, acute-angle-cloud, change, insula, yocoin, ecoscu, sora, mcdex, cap, smooth-love-potion, veil, eth3s, dev-protocol, ormeus-cash, aurora, howdoo, datamine, ceek, cloudbric, gamb, odem, statera, robonomics-network, fuse-network-token, lunch-money, cotrader, multivac, trustswap, medical-token-currency, counosx, the-4th-pillar, ideachain, ",33.0,"ink, syscoin, coinfi, zelaapayae, acute-angle-cloud, sora, mcdex, smooth-love-potion, veil, eth3s, aurora, howdoo, ceek, cloudbric, gamb, statera, robonomics-network, multivac, trustswap, counosx, the-4th-pillar, ",20.0,"ink, syscoin, acute-angle-cloud, sora, mcdex, smooth-love-potion, aurora, howdoo, multivac, trustswap, the-4th-pillar, ",3.0,"syscoin, acute-angle-cloud, trustswap, "
2020-08,71.0,"bismuth, zap, dia-data, yfii-finance, internxt, coinloan, stacktical, hunt-token, s4fe, offshift, metacoin, parsiq, unitrade, acute-angle-cloud, change, numeraire, yocoin, flux, parachute, linkcoin-token, sushi, legends-room, alliance-x-trading, hashcoin, loon-network, hakka-finance, unipower, mmocoin, mybit-token, trust, dionpay, ormeus-ecosystem, bitball, nest, cream-2, ulord, jupiter, dev-protocol, chimaera, centric-cash, ormeus-cash, pigeoncoin, spankchain, selfkey, pchain, bitica-coin, unifi, auctus, iown, airswap, eosdac, yflink, lukso-token, kadena, robonomics-network, xdai-stake, bitcoin-god, jetcoin, menapay, nervenetwork, ",40.0,"zap, dia-data, yfii-finance, offshift, parsiq, unitrade, acute-angle-cloud, numeraire, parachute, sushi, hashcoin, hakka-finance, unipower, mybit-token, ormeus-ecosystem, bitball, nest, cream-2, dev-protocol, chimaera, centric-cash, selfkey, pchain, bitica-coin, unifi, auctus, airswap, yflink, lukso-token, kadena, robonomics-network, xdai-stake, nervenetwork, ",35.0,"zap, dia-data, yfii-finance, offshift, parsiq, unitrade, acute-angle-cloud, numeraire, parachute, sushi, hashcoin, hakka-finance, unipower, ormeus-ecosystem, nest, cream-2, dev-protocol, centric-cash, selfkey, pchain, bitica-coin, unifi, auctus, airswap, yflink, lukso-token, kadena, robonomics-network, xdai-stake, nervenetwork, ",9.0,"dia-data, yfii-finance, numeraire, sushi, nest, selfkey, bitica-coin, airswap, "
2020-09,64.0,"yfii-finance, globalboost, nestree, qqq-token, eminer, hunt-token, lien, cat-token, fsw-token, dapp, unifi-protocol, aelf, eosbet, exchangecoin, matrix-ai-network, coindom, itam-games, aleph, hashgard, pickle-finance, acute-angle-cloud, shroom-finance, magic-cube, sushi, monero-classic-xmc, defis-network, noia-network, lua-token, ucx, kambria, veridocglobal, dionpay, veil, rarible, pha, circuits-of-value, ulord, kittenfinance, seigniorage-shares, gleec-coin, triumphx, unicorn-token, ormeus-cash, blaze-network, eosdac, yflink, geodb, nyzo, jetcoin, connectome, uniswap, ",38.0,"yfii-finance, globalboost, nestree, qqq-token, eminer, hunt-token, lien, cat-token, fsw-token, aelf, exchangecoin, itam-games, pickle-finance, acute-angle-cloud, shroom-finance, magic-cube, sushi, defis-network, lua-token, kambria, rarible, pha, circuits-of-value, kittenfinance, triumphx, unicorn-token, yflink, geodb, nyzo, connectome, uniswap, ",29.0,"yfii-finance, nestree, eminer, hunt-token, lien, fsw-token, aelf, exchangecoin, itam-games, pickle-finance, acute-angle-cloud, sushi, defis-network, lua-token, rarible, pha, kittenfinance, triumphx, unicorn-token, yflink, nyzo, connectome, uniswap, ",15.0,"yfii-finance, nestree, eminer, hunt-token, aelf, itam-games, pickle-finance, acute-angle-cloud, sushi, pha, unicorn-token, yflink, uniswap, "
2020-10,49.0,"vectorium, dextf, qqq-token, matrix-ai-network, payrue, trust-wallet-token, kin, salt, global-digital-content, refereum, ternio, xfinance, aryacoin, vertcoin, tokenomy, seigniorage-shares, gleec-coin, triumphx, simple-token, stobox-token, bitica-coin, marcopolo, eosdac, salmon, gomoney2, platincoin, easyfi, ideachain, ",24.0,"qqq-token, matrix-ai-network, trust-wallet-token, refereum, xfinance, aryacoin, vertcoin, tokenomy, triumphx, simple-token, bitica-coin, gomoney2, platincoin, easyfi, ",18.0,"qqq-token, trust-wallet-token, refereum, xfinance, tokenomy, triumphx, simple-token, bitica-coin, easyfi, ",5.0,"refereum, simple-token, easyfi, "
2020-11,59.0,"vectorium, alpha-quark-token, rook, internxt, tap, uca, swingby, 88mph, matrix-ai-network, muse-2, loki-network, mini, ecoscu, strong, freeway, refereum, lua-token, smartcredit-token, mindol, ong, somesing, zenfuse, seigniorage-shares, district0x, gleec-coin, triumphx, saffron-finance, index-cooperative, bitica-coin, contentbox, acoconut, unfederalreserve, civic, stablexswap, enigma, eosdac, gny, cotrader, vidya, ",31.0,"alpha-quark-token, rook, 88mph, loki-network, strong, freeway, refereum, smartcredit-token, ong, somesing, zenfuse, district0x, gleec-coin, triumphx, saffron-finance, bitica-coin, contentbox, acoconut, unfederalreserve, civic, vidya, ",27.0,"alpha-quark-token, rook, 88mph, loki-network, strong, freeway, refereum, smartcredit-token, ong, somesing, zenfuse, district0x, triumphx, saffron-finance, bitica-coin, contentbox, acoconut, unfederalreserve, civic, vidya, ",8.0,"alpha-quark-token, 88mph, refereum, smartcredit-token, ong, district0x, saffron-finance, civic, "
2020-12,61.0,"bridge-oracle, herocoin, contracoin, og-fan-token, bintex-futures, coinloan, lbry-credits, rake-finance, badger-dao, gala, new-bitshares, matrix-ai-network, sync-network, nucleus-vision, spartan-protocol-token, paris-saint-germain-fan-token, kstarcoin, uniwhales, the-graph, apollon-limassol, idle, jd-coin, club-atletico-independiente, brother-music-platform, trabzonspor-fan-token, seigniorage-shares, gleec-coin, triumphx, proximax, gifto, berry, puriever, electric-vehicle-zone, mahadao, pawtocol, bitica-coin, utu-coin, as-roma-fan-token, basis-share, eosdac, axia, amond, axion, team-heretics-fan-token, groestlcoin, ",39.0,"og-fan-token, bintex-futures, lbry-credits, rake-finance, badger-dao, gala, new-bitshares, matrix-ai-network, sync-network, nucleus-vision, spartan-protocol-token, paris-saint-germain-fan-token, uniwhales, the-graph, idle, brother-music-platform, trabzonspor-fan-token, seigniorage-shares, gleec-coin, triumphx, gifto, berry, puriever, electric-vehicle-zone, mahadao, bitica-coin, utu-coin, as-roma-fan-token, basis-share, axia, axion, groestlcoin, ",32.0,"og-fan-token, bintex-futures, lbry-credits, rake-finance, badger-dao, new-bitshares, sync-network, nucleus-vision, spartan-protocol-token, paris-saint-germain-fan-token, uniwhales, the-graph, idle, brother-music-platform, trabzonspor-fan-token, seigniorage-shares, triumphx, gifto, berry, puriever, electric-vehicle-zone, mahadao, bitica-coin, utu-coin, as-roma-fan-token, basis-share, axion, groestlcoin, ",11.0,"lbry-credits, badger-dao, new-bitshares, nucleus-vision, paris-saint-germain-fan-token, the-graph, trabzonspor-fan-token, gifto, mahadao, basis-share, groestlcoin, "
2021-01,104.0,"vectorium, pantheon-x, zero, shiba-inu, dextf, curate, blackdragon-token, stable-asset, unilayer, gala, everipedia, s4fe, flash-stake, insure, tolar, matrix-ai-network, tai, muse-2, everycoin, cocos-bcx, aventus, nucleus-vision, mantis-network, hedgetrade, myriadcoin, the-sandbox, geyser, trust-wallet-token, publish, pundi-x, temco, donut, bao-finance, dogecoin, idle, pinkcoin, reddcoin, bird-money, bafi-finance-token, mass, bitshares, bittube, digitalnote, bitball, credits, district0x, mileverse, nexalt, triumphx, gifto, proof-of-liquidity, mixtrust, rubic, ardcoin, bitica-coin, utu-coin, cvnx, quadrant-protocol, peos, fanstime, stablexswap, burency, ultrain, eosdac, gny, ludos, bitcoinx, mithril-share, amond, oin-finance, cotrader, pumapay, memetic, corionx, the-4th-pillar, opium, yvs-finance, snowswap, ",58.0,"vectorium, zero, shiba-inu, curate, unilayer, gala, everipedia, s4fe, flash-stake, tai, everycoin, cocos-bcx, nucleus-vision, hedgetrade, the-sandbox, geyser, trust-wallet-token, pundi-x, temco, donut, bao-finance, dogecoin, reddcoin, bird-money, mass, bitshares, digitalnote, bitball, credits, district0x, mileverse, gifto, proof-of-liquidity, mixtrust, rubic, bitica-coin, utu-coin, quadrant-protocol, fanstime, ultrain, gny, mithril-share, amond, oin-finance, pumapay, memetic, corionx, the-4th-pillar, opium, yvs-finance, snowswap, ",44.0,"shiba-inu, unilayer, everipedia, s4fe, flash-stake, tai, cocos-bcx, nucleus-vision, hedgetrade, the-sandbox, geyser, trust-wallet-token, pundi-x, temco, donut, bao-finance, dogecoin, reddcoin, bird-money, mass, bitshares, bitball, district0x, mileverse, gifto, rubic, bitica-coin, utu-coin, quadrant-protocol, fanstime, ultrain, gny, mithril-share, amond, oin-finance, pumapay, opium, snowswap, ",17.0,"shiba-inu, everipedia, cocos-bcx, the-sandbox, trust-wallet-token, pundi-x, temco, donut, dogecoin, reddcoin, mass, bitshares, district0x, gifto, fanstime, ultrain, "
