year/month,100K,500K,1M,10M
2017-01,0.0,0.0,0.0,0.0
2017-02,1.0,1.0,0.0,0.0
2017-03,5.0,3.0,3.0,1.0
2017-04,4.0,4.0,3.0,2.0
2017-05,18.0,17.0,14.0,6.0
2017-06,13.0,9.0,9.0,2.0
2017-07,6.0,4.0,4.0,0.0
2017-08,7.0,6.0,5.0,4.0
2017-09,9.0,7.0,7.0,3.0
2017-10,10.0,8.0,8.0,4.0
2017-11,15.0,12.0,12.0,5.0
2017-12,39.0,30.0,25.0,12.0
2018-01,49.0,37.0,33.0,20.0
2018-02,8.0,3.0,3.0,1.0
2018-03,10.0,10.0,8.0,4.0
2018-04,16.0,12.0,10.0,5.0
2018-05,7.0,6.0,4.0,2.0
2018-06,6.0,4.0,3.0,1.0
2018-07,13.0,10.0,5.0,2.0
2018-08,3.0,1.0,1.0,0.0
2018-09,4.0,3.0,3.0,1.0
2018-10,8.0,4.0,3.0,1.0
2018-11,11.0,4.0,2.0,1.0
2018-12,3.0,1.0,0.0,0.0
2019-01,5.0,3.0,3.0,2.0
2019-02,6.0,5.0,5.0,5.0
2019-03,26.0,13.0,12.0,6.0
2019-04,15.0,9.0,7.0,0.0
2019-05,13.0,7.0,6.0,1.0
2019-06,19.0,8.0,7.0,4.0
2019-07,18.0,8.0,7.0,2.0
2019-08,19.0,7.0,6.0,1.0
2019-09,18.0,5.0,4.0,3.0
2019-10,26.0,7.0,6.0,4.0
2019-11,17.0,4.0,1.0,0.0
2019-12,16.0,12.0,8.0,0.0
2020-01,21.0,16.0,14.0,2.0
2020-02,24.0,17.0,16.0,6.0
2020-03,34.0,24.0,18.0,7.0
2020-04,29.0,14.0,11.0,5.0
2020-05,40.0,19.0,15.0,6.0
2020-06,37.0,19.0,12.0,2.0
2020-07,53.0,33.0,20.0,3.0
2020-08,71.0,40.0,35.0,9.0
2020-09,64.0,38.0,29.0,15.0
2020-10,49.0,24.0,18.0,5.0
2020-11,59.0,31.0,27.0,8.0
2020-12,61.0,39.0,32.0,11.0
2021-01,104.0,58.0,44.0,17.0
2021-02,182.0,147.0,123.0,49.0
2021-03,189.0,115.0,92.0,35.0
2021-04,172.0,115.0,101.0,45.0
2021-05,213.0,161.0,129.0,58.0
2021-06,102.0,61.0,47.0,16.0
2021-07,161.0,115.0,82.0,21.0
2021-08,168.0,120.0,91.0,37.0
2021-09,141.0,92.0,69.0,14.0
2021-10,270.0,192.0,153.0,28.0
2021-11,296.0,213.0,174.0,58.0
2021-12,164.0,98.0,72.0,22.0
2022-01,150.0,92.0,67.0,12.0
2022-02,105.0,57.0,40.0,6.0
2022-03,120.0,74.0,53.0,10.0
2022-04,134.0,75.0,55.0,14.0
2022-05,157.0,93.0,65.0,18.0
2022-06,130.0,63.0,43.0,9.0
2022-07,100.0,41.0,36.0,10.0
2022-08,112.0,53.0,38.0,10.0
2022-09,111.0,45.0,34.0,7.0
2022-10,92.0,40.0,31.0,11.0
2022-11,108.0,47.0,35.0,8.0
2022-12,91.0,55.0,34.0,5.0
2023-01,112.0,47.0,34.0,6.0
2023-02,156.0,79.0,56.0,13.0
2023-03,137.0,56.0,29.0,3.0
2023-04,149.0,62.0,39.0,6.0
2023-05,219.0,122.0,89.0,16.0
2023-06,106.0,38.0,26.0,4.0
2023-07,123.0,55.0,37.0,4.0
2023-08,97.0,39.0,28.0,2.0
2023-09,100.0,34.0,21.0,5.0
2023-10,61.0,21.0,13.0,2.0
2023-11,0.0,0.0,0.0,0.0
2023-12,0.0,0.0,0.0,0.0
MEAN,69.48809523809524,40.154761904761905,30.523809523809526,9.107142857142858
MEDIAN,39.5,22.5,17.0,5.0
