year/month,100K,100K,500K,500K,1M,1M,10M,10M
2021-05,17.0,"jindo-inu, exchangecoin, maxcoin, deracoin, flowchaincoin, pegazus-finance, riceswap, pinkmoon, secured-moonrat-token, jack-token, cvnx, hydro, hodl-token, litecash, bitcoin-god, ",12.0,"jindo-inu, deracoin, pegazus-finance, riceswap, pinkmoon, jack-token, cvnx, hodl-token, litecash, bitcoin-god, ",4.0,"jindo-inu, pegazus-finance, riceswap, bitcoin-god, ",0.0,
2021-06,17.0,"lightyears, ethereummax, catge-coin, xido-finance, jindo-inu, palgold, hara-token, phuture, bonfire, hydro, hashpanda, bitcoin-god, ",12.0,"ethereummax, catge-coin, xido-finance, jindo-inu, hara-token, bonfire, bitcoin-god, ",8.0,"ethereummax, xido-finance, jindo-inu, hara-token, bitcoin-god, ",2.0,"ethereummax, jindo-inu, "
2021-07,16.0,"bitsten-token, blank, wilder-world, kick, acute-angle-cloud, arix, chaincade, bafi-finance-token, dashsports, floki, safu-protocol, keysians-network, bitcoin-god, option-panda-platform, starlink, ",12.0,"blank, wilder-world, kick, acute-angle-cloud, arix, bafi-finance-token, floki, keysians-network, bitcoin-god, option-panda-platform, starlink, ",9.0,"blank, wilder-world, kick, acute-angle-cloud, floki, keysians-network, option-panda-platform, starlink, ",1.0,"starlink, "
2021-08,17.0,"pitbull, hupayx, pikachu, moon-rabbit, trustverse, bone-shibaswap, ethos, defis-network, gambler-shiba, bird-money, bafi-finance-token, tenshi, valobit, zeon, bitcoin-god, ",10.0,"pitbull, hupayx, moon-rabbit, trustverse, bone-shibaswap, ethos, defis-network, bafi-finance-token, zeon, bitcoin-god, ",7.0,"pitbull, moon-rabbit, trustverse, bone-shibaswap, ethos, defis-network, bitcoin-god, ",1.0,"pitbull, "
2021-09,22.0,"cryptozoo, bondly, banksocial, kimchi-finance, yummy, trustverse, giftedhands, koji, bytz, goldfinx, atlas-protocol, cvnx, wadzpay-token, steam-exchange, gamefi, bitcoin-god, ",12.0,"cryptozoo, bondly, giftedhands, goldfinx, atlas-protocol, cvnx, wadzpay-token, steam-exchange, gamefi, bitcoin-god, ",8.0,"cryptozoo, giftedhands, goldfinx, atlas-protocol, wadzpay-token, gamefi, bitcoin-god, ",0.0,
2021-10,27.0,"cryptozoo, banksocial, catgirl, pitbull, nexdax, little-bunny-rocket, sensitrust, babb, aventus, triipmiles, content-value-network, foxgirl, rocket-raccoon, strikecoin, catzcoin, brick-token, planet-sandbox, spacegrime, dogebonk, swarm-markets, king-shiba, baby-shiba-inu, cvnx, bitcoin-god, corgicoin, ",17.0,"cryptozoo, banksocial, catgirl, pitbull, nexdax, little-bunny-rocket, sensitrust, babb, content-value-network, foxgirl, rocket-raccoon, catzcoin, planet-sandbox, spacegrime, king-shiba, bitcoin-god, corgicoin, ",12.0,"nexdax, little-bunny-rocket, sensitrust, content-value-network, foxgirl, rocket-raccoon, catzcoin, planet-sandbox, spacegrime, king-shiba, bitcoin-god, corgicoin, ",1.0,"content-value-network, "
2021-11,24.0,"pitbull, avinoc, electric-vehicle-direct-currency, wojak-finance, scientia, acute-angle-cloud, zyx, zipmex-token, moonlight-token, hokkaidu-inu, per-project, red-pulse, shibacorgi, hare-token, silent-notary, dojo, wifedoge, copycat-finance, avnrich, baby-floki-coin, magic-beasties, ",14.0,"pitbull, scientia, acute-angle-cloud, zyx, zipmex-token, hokkaidu-inu, red-pulse, hare-token, silent-notary, dojo, copycat-finance, avnrich, ",10.0,"pitbull, acute-angle-cloud, zipmex-token, red-pulse, hare-token, dojo, copycat-finance, avnrich, ",4.0,"dojo, avnrich, "
2021-12,15.0,"contracoin, la-peseta, arti-project, eminer, archangel-token, nft-stars, dogegayson, freeway, new-year-token, decimated, dojo, rps-league, asyagro, helleniccoin, defily, ",7.0,"la-peseta, eminer, dogegayson, new-year-token, decimated, dojo, rps-league, ",6.0,"eminer, dogegayson, new-year-token, decimated, dojo, rps-league, ",2.0,"eminer, dojo, "
2022-01,18.0,"proxy, sensitrust, bitcoin-br, trustverse, acute-angle-cloud, psyoptions, cap, megatech, unix, jacy, ormeus-cash, ruff, predictcoin, bitcoin-god, defily, cleardao, ",12.0,"sensitrust, bitcoin-br, psyoptions, megatech, jacy, ormeus-cash, ruff, predictcoin, bitcoin-god, cleardao, ",6.0,"sensitrust, bitcoin-br, psyoptions, megatech, ruff, cleardao, ",0.0,
2022-02,14.0,"cashbackpro, permission-coin, bunscake, bobs_repair, urus-token, tudabirds, stobox-token, eth-fan-token, silva-token, bitcoin-god, ",7.0,"cashbackpro, bunscake, bobs_repair, tudabirds, bitcoin-god, ",2.0,"cashbackpro, bobs_repair, ",0.0,
