year/month,100K,500K,1M,10M
2017-01,0.0,0.0,0.0,0.0
2017-02,1.0,1.0,0.0,0.0
2017-03,2.0,2.0,2.0,1.0
2017-04,1.0,1.0,0.0,0.0
2017-05,0.0,0.0,0.0,0.0
2017-06,1.0,0.0,0.0,0.0
2017-07,0.0,0.0,0.0,0.0
2017-08,0.0,0.0,0.0,0.0
2017-09,1.0,1.0,1.0,0.0
2017-10,2.0,1.0,1.0,0.0
2017-11,4.0,3.0,3.0,0.0
2017-12,3.0,1.0,1.0,0.0
2018-01,11.0,10.0,9.0,5.0
2018-02,7.0,2.0,2.0,0.0
2018-03,1.0,1.0,1.0,0.0
2018-04,3.0,3.0,3.0,0.0
2018-05,3.0,2.0,1.0,1.0
2018-06,2.0,0.0,0.0,0.0
2018-07,3.0,2.0,1.0,1.0
2018-08,1.0,0.0,0.0,0.0
2018-09,1.0,0.0,0.0,0.0
2018-10,0.0,0.0,0.0,0.0
2018-11,3.0,1.0,0.0,0.0
2018-12,1.0,0.0,0.0,0.0
2019-01,0.0,0.0,0.0,0.0
2019-02,1.0,0.0,0.0,0.0
2019-03,7.0,3.0,2.0,0.0
2019-04,1.0,0.0,0.0,0.0
2019-05,2.0,2.0,1.0,0.0
2019-06,3.0,1.0,1.0,0.0
2019-07,4.0,2.0,1.0,0.0
2019-08,11.0,2.0,2.0,0.0
2019-09,10.0,2.0,1.0,0.0
2019-10,7.0,2.0,2.0,1.0
2019-11,1.0,1.0,0.0,0.0
2019-12,5.0,4.0,1.0,0.0
2020-01,8.0,7.0,5.0,0.0
2020-02,9.0,6.0,5.0,0.0
2020-03,11.0,9.0,7.0,4.0
2020-04,5.0,4.0,4.0,1.0
2020-05,10.0,5.0,2.0,0.0
2020-06,11.0,6.0,2.0,0.0
2020-07,18.0,13.0,7.0,1.0
2020-08,13.0,5.0,5.0,0.0
2020-09,19.0,13.0,9.0,5.0
2020-10,21.0,11.0,10.0,0.0
2020-11,13.0,6.0,6.0,1.0
2020-12,14.0,7.0,6.0,0.0
2021-01,20.0,11.0,7.0,6.0
2021-02,20.0,17.0,16.0,6.0
2021-03,30.0,16.0,12.0,2.0
2021-04,34.0,21.0,16.0,9.0
2021-05,56.0,41.0,29.0,15.0
2021-06,32.0,20.0,14.0,4.0
2021-07,37.0,27.0,16.0,3.0
2021-08,30.0,19.0,14.0,2.0
2021-09,36.0,22.0,15.0,0.0
2021-10,57.0,39.0,27.0,3.0
2021-11,59.0,40.0,32.0,13.0
2021-12,35.0,24.0,16.0,3.0
2022-01,37.0,20.0,12.0,2.0
2022-02,25.0,12.0,5.0,1.0
2022-03,29.0,17.0,10.0,1.0
2022-04,37.0,12.0,8.0,3.0
2022-05,40.0,20.0,13.0,2.0
2022-06,34.0,18.0,9.0,2.0
2022-07,19.0,2.0,2.0,0.0
2022-08,23.0,13.0,7.0,0.0
2022-09,23.0,8.0,3.0,1.0
2022-10,20.0,7.0,3.0,1.0
2022-11,26.0,9.0,7.0,1.0
2022-12,20.0,14.0,8.0,3.0
2023-01,21.0,4.0,3.0,0.0
2023-02,23.0,12.0,10.0,3.0
2023-03,35.0,15.0,8.0,0.0
2023-04,40.0,17.0,9.0,2.0
2023-05,56.0,31.0,23.0,5.0
2023-06,31.0,9.0,4.0,1.0
2023-07,35.0,14.0,9.0,1.0
2023-08,20.0,6.0,3.0,0.0
2023-09,31.0,5.0,5.0,1.0
2023-10,25.0,8.0,3.0,0.0
2023-11,0.0,0.0,0.0,0.0
2023-12,0.0,0.0,0.0,0.0
MEAN,16.083333333333332,8.476190476190476,5.738095238095238,1.3928571428571428
MEDIAN,11.0,5.0,3.0,0.0
