year/month,100K,100K,500K,500K,1M,1M,10M,10M
2023-04,30.0,"vectorium, artizen, sci-coin-2, helium-iot, aston-villa-fan-token, avinoc, palmpay, defidollar-dao, yusd-stablecoin, naruto, pepe-girl, babypepe, crazy-bunny, pleb-token, tongtong-coin, eyes-protocol, rari-governance-token, spartacus, bmchain-token, cope-coin, crazy-tiger, pepe-the-frog, wild-island-game, ",9.0,"aston-villa-fan-token, palmpay, defidollar-dao, naruto, babypepe, pleb-token, tongtong-coin, rari-governance-token, wild-island-game, ",8.0,"aston-villa-fan-token, palmpay, defidollar-dao, naruto, babypepe, pleb-token, rari-governance-token, wild-island-game, ",1.0,"babypepe, "
2023-05,100.0,"memecoin, psyop, pepesol, metanept, olympus-v1, converter-finance, marvin-inu, zbit-ordinals, lucky-roo, mad-meerkat-optimizer-polygon, cindicator, sci-coin-2, monkeys-token, yocoinyoco, kiboshib, pi-network-iou, paradox-metaverse, definity, qie, memeverse, smudge-lord, babydogearmy, dux, milady-meme-coin, mumu, mnicorp, shanghai-inu, ducks, novem-gold, pepe-coin-bsc, clown-pepe, ben-2, adax, beer, qlink, sanshu-inu, bogdanoff, pepedex, waultswap, nyan-meme-coin, beep-coin, stick-man, bedlingtonterriertoken, crazy-bunny, recharge, unipower, lunagens, derp-coin, the-reaper-coin, contents-shopper-token, quick-transfer-coin-plus, axl-inu, turbo, pulse-inu, usd-zee, jesus-coin, apeswap-finance, spartacus, wall-street-baby, pepa-erc, cope-coin, ai-code, samoyedcoin, creaticles, monox, ordinex, peepo, alphacoin, allpaycoin, pooh, fistbump, hydro, intelly, meme-token, lumi, tokenplace, kitty-inu, kermit-cc0e2d66-4b46-4eaf-9f4e-5caa883d1c09, dream-machine-token, dragon-fly, green-shiba-inu, rendoge, ",47.0,"memecoin, psyop, pepesol, cindicator, monkeys-token, kiboshib, smudge-lord, milady-meme-coin, mumu, shanghai-inu, ducks, pepe-coin-bsc, ben-2, bogdanoff, pepedex, nyan-meme-coin, beep-coin, stick-man, bedlingtonterriertoken, recharge, unipower, the-reaper-coin, axl-inu, turbo, pulse-inu, jesus-coin, spartacus, wall-street-baby, cope-coin, ai-code, samoyedcoin, monox, ordinex, peepo, pooh, fistbump, meme-token, kermit-cc0e2d66-4b46-4eaf-9f4e-5caa883d1c09, dream-machine-token, dragon-fly, ",33.0,"psyop, pepesol, kiboshib, smudge-lord, milady-meme-coin, shanghai-inu, ducks, pepe-coin-bsc, ben-2, bogdanoff, nyan-meme-coin, beep-coin, bedlingtonterriertoken, recharge, unipower, turbo, wall-street-baby, cope-coin, ai-code, samoyedcoin, ordinex, peepo, pooh, fistbump, dream-machine-token, dragon-fly, ",9.0,"psyop, milady-meme-coin, ben-2, nyan-meme-coin, turbo, wall-street-baby, samoyedcoin, peepo, pooh, "
2023-06,55.0,"wassie, olympus-v1, pepebrc, bscex, iguverse-igu, pomo, wrapped-xrp, saudi-pepe, wattton, centrality, banana-token, mrspepe, sats-ordinals, bedlingtonterriertoken, xfinance, pepecola, the-three-kingdoms, dmd, nihao, spartacus, metaoctagon, osl-ai, jack-token, gateway-protocol, persib-fan-token, reign-of-terror, anchor-protocol, the-world-state, diamond-launch, rimaunangis, ",16.0,"wassie, olympus-v1, bscex, iguverse-igu, saudi-pepe, bedlingtonterriertoken, dmd, nihao, osl-ai, anchor-protocol, diamond-launch, ",9.0,"wassie, bscex, iguverse-igu, saudi-pepe, bedlingtonterriertoken, osl-ai, anchor-protocol, diamond-launch, ",3.0,"iguverse-igu, bedlingtonterriertoken, anchor-protocol, "
2023-07,49.0,"psyop, rook, linework-coin, ethlas, itemverse, larry, laelaps, boltbot, 3d3d, scooby, astroport-fi, wen-token, raptor, mumu, twitfi, fomo-eth, collab-land, loyalty-labs, ai-x, magic-cube, koyo-6e93c7c7-03a3-4475-86a1-f0bc80ee09d6, aicoin-2, cacao, universal-basic-income, bedlingtonterriertoken, bitrock, the-qwan, navis, lunagens, wagmi-coin, xfinance, axl-inu, x-2, oxbitcoin, ben-s-finale, popecoin, punk-vault-nftx, stride-staked-atom, energi, magic-shoes, lookscoin, gateway-protocol, bart-simpson-coin, crosswallet, temdao, primate, ",19.0,"rook, ethlas, laelaps, boltbot, scooby, raptor, mumu, loyalty-labs, ai-x, magic-cube, koyo-6e93c7c7-03a3-4475-86a1-f0bc80ee09d6, aicoin-2, cacao, universal-basic-income, bitrock, wagmi-coin, oxbitcoin, energi, crosswallet, ",12.0,"rook, laelaps, boltbot, scooby, mumu, loyalty-labs, ai-x, koyo-6e93c7c7-03a3-4475-86a1-f0bc80ee09d6, cacao, wagmi-coin, oxbitcoin, crosswallet, ",1.0,"cacao, "
2023-08,41.0,"ted-bnb, farmer-friends, yocoinyoco, evrynet, nft-stars, geke, kuku, hilo, coinhub, efin-decentralized, stohn-coin, wolf-game-wool, xdoge-2, toshi, rinia-inu, bobo, metarix, grape-2-2, wrapped-syscoin, paal-ai, messier, nada-protocol-token, fluminense-fc-fan-token, haram, goons-of-balatroon, mithril-share, ",8.0,"yocoinyoco, geke, kuku, coinhub, grape-2-2, paal-ai, nada-protocol-token, haram, ",4.0,"yocoinyoco, geke, grape-2-2, nada-protocol-token, ",0.0,
2023-09,48.0,"solarx, pirichain, space-iz, amaurot, releap, monkeys-token, vrjam, emoticoin, kalar-chain, artmeta, grape-governance-token, nftcloud, kangaroo-community, amber-phantom-butterfly, pomerium, chaintools, connext, anon, advanced-united-continent, the-pond, wolf-game-wool, sweets, fnkcom, kstarnft, token-in, galaxy-fight-club, base-protocol, cca, rangers-protocol-gas, defi-yield-protocol, xai-corp, hxacoin, refinable, arkadiko-usda, spotted-turtle, nothing-token, mt-token, ",17.0,"solarx, pirichain, kalar-chain, nftcloud, kangaroo-community, amber-phantom-butterfly, connext, kstarnft, base-protocol, cca, xai-corp, hxacoin, spotted-turtle, nothing-token, ",10.0,"solarx, kangaroo-community, amber-phantom-butterfly, connext, kstarnft, spotted-turtle, nothing-token, ",2.0,"kangaroo-community, spotted-turtle, "
2023-10,29.0,"darkmeta, fishing-tuna, yocoinyoco, lynkey, ozonechain, decubate, amber-phantom-butterfly, bikerush, felix, cryptopawcoin, navis, xxcoin-2, zuzuai, prisma-mkusd, rangers-protocol-gas, first-ever-nft, lemonchain, kenda, spotted-turtle, axelar-usdt, aurix, ",6.0,"yocoinyoco, decubate, amber-phantom-butterfly, cryptopawcoin, zuzuai, spotted-turtle, ",4.0,"yocoinyoco, decubate, cryptopawcoin, zuzuai, ",1.0,"zuzuai, "
MEAN,50.285714285714285,,17.428571428571427,,11.428571428571429,,2.4285714285714284,
MEDIAN,48.0,,16.0,,9.0,,1.0,
