year/month,100K,100K,500K,500K,1M,1M,10M,10M
2023-04,15.0,"vectorium, crazy-bunny, tongtong-coin, rari-governance-token, spartacus, bmchain-token, crazy-tiger, pepe-the-frog, wild-island-game, ",3.0,"tongtong-coin, rari-governance-token, wild-island-game, ",2.0,"rari-governance-token, wild-island-game, ",0.0,
2023-05,39.0,"psyop, converter-finance, lucky-roo, cindicator, sci-coin-2, yocoinyoco, kiboshib, pi-network-iou, paradox-metaverse, qie, milady-meme-coin, ducks, novem-gold, qlink, bogdanoff, pepedex, stick-man, bedlingtonterriertoken, crazy-bunny, the-reaper-coin, quick-transfer-coin-plus, axl-inu, usd-zee, apeswap-finance, spartacus, pepa-erc, cope-coin, creaticles, intelly, tokenplace, kitty-inu, dream-machine-token, green-shiba-inu, rendoge, ",14.0,"psyop, cindicator, kiboshib, milady-meme-coin, ducks, bogdanoff, pepedex, stick-man, bedlingtonterriertoken, the-reaper-coin, axl-inu, spartacus, cope-coin, dream-machine-token, ",8.0,"psyop, kiboshib, milady-meme-coin, ducks, bogdanoff, bedlingtonterriertoken, cope-coin, dream-machine-token, ",2.0,"psyop, milady-meme-coin, "
2023-06,32.0,"pepebrc, bscex, pomo, wrapped-xrp, centrality, bedlingtonterriertoken, xfinance, the-three-kingdoms, spartacus, metaoctagon, osl-ai, jack-token, anchor-protocol, the-world-state, diamond-launch, rimaunangis, ",8.0,"bscex, bedlingtonterriertoken, osl-ai, anchor-protocol, diamond-launch, ",5.0,"bscex, bedlingtonterriertoken, osl-ai, anchor-protocol, diamond-launch, ",2.0,"bedlingtonterriertoken, anchor-protocol, "
2023-07,21.0,"psyop, scooby, wen-token, collab-land, loyalty-labs, ai-x, cacao, universal-basic-income, bedlingtonterriertoken, xfinance, axl-inu, oxbitcoin, punk-vault-nftx, stride-staked-atom, energi, magic-shoes, lookscoin, gateway-protocol, bart-simpson-coin, crosswallet, ",8.0,"scooby, loyalty-labs, ai-x, cacao, universal-basic-income, oxbitcoin, energi, crosswallet, ",6.0,"scooby, loyalty-labs, ai-x, cacao, oxbitcoin, crosswallet, ",1.0,"cacao, "
2023-08,27.0,"ted-bnb, yocoinyoco, nft-stars, geke, kuku, hilo, coinhub, wolf-game-wool, toshi, bobo, paal-ai, messier, fluminense-fc-fan-token, haram, ",6.0,"yocoinyoco, geke, kuku, coinhub, paal-ai, haram, ",2.0,"yocoinyoco, geke, ",0.0,
2023-09,21.0,"solarx, space-iz, releap, vrjam, emoticoin, amber-phantom-butterfly, pomerium, chaintools, connext, anon, wolf-game-wool, fnkcom, base-protocol, rangers-protocol-gas, refinable, arkadiko-usda, spotted-turtle, mt-token, ",7.0,"solarx, amber-phantom-butterfly, connext, base-protocol, spotted-turtle, ",6.0,"solarx, amber-phantom-butterfly, connext, spotted-turtle, ",1.0,"spotted-turtle, "
2023-10,20.0,"yocoinyoco, lynkey, ozonechain, decubate, amber-phantom-butterfly, felix, navis, zuzuai, prisma-mkusd, rangers-protocol-gas, lemonchain, kenda, axelar-usdt, aurix, ",4.0,"yocoinyoco, decubate, amber-phantom-butterfly, zuzuai, ",3.0,"yocoinyoco, decubate, zuzuai, ",1.0,"zuzuai, "
MEAN,25.0,,7.142857142857143,,4.571428571428571,,1.0,
MEDIAN,21.0,,7.0,,5.0,,1.0,
